show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s701,TV Show,Golden Heart 701,Anurag Kashyap,"Zendaya, Shah Rukh Khan",United Kingdom,"June 07, 2012",2006,G,4 Seasons,"Comedies, Thrillers, Romantic Movies",A tv show about family set in United Kingdom.
s702,TV Show,Crimson Promise 702,Mira Nair,"Oscar Isaac, Song Kang-ho, Penelope Cruz, Saoirse Ronan, Idris Elba",Nigeria,,2006,TV-PG,2 Season,"TV Dramas, International Movies",A tv show about identity set in Nigeria.
s703,TV Show,Broken Kingdom 703,Ava DuVernay,"Tilda Swinton, Oscar Isaac",Brazil,"July 31, 2021",1994,PG,8 Season,"TV Dramas, British TV Shows",A tv show about family set in Brazil.
s704,TV Show,Eternal Legacy 704,Bong Joon-ho,"Viola Davis, Mahershala Ali, Idris Elba",Egypt,"January 16, 2017",2019,TV-Y7,8 Season,"TV Comedies, Stand-Up Comedy, Dramas",A tv show about crime set in Egypt.
s705,TV Show,Broken Project 705,Hayao Miyazaki,"Idris Elba, Shah Rukh Khan, Oscar Isaac, Zendaya, Song Kang-ho",Italy,"January 28, 2014",2011,TV-Y7,7 Season,"Children & Family Movies, Horror Movies, Thrillers",A tv show about survival set in Italy.
s706,Movie,Wild Shadow 706,Anurag Kashyap,"Mahershala Ali, Viola Davis",,"September 10, 2018",2008,G,171 min,Stand-Up Comedy,A movie about survival set in an unnamed place.
s707,Movie,Hidden Hour 707,,"Song Kang-ho, Oscar Isaac, Shah Rukh Khan, Lupita Nyong'o, Saoirse Ronan",Brazil,"November 15, 2010",2013,TV-Y7,61 min,Anime Series,A movie about family set in Brazil.
s708,Movie,Crimson Whisper 708,Denis Villeneuve,"Lupita Nyong'o, Daniel Kaluuya, Idris Elba, Oscar Isaac, Riz Ahmed",France,"November 01, 2020",2004,NR,105 min,British TV Shows,A movie about identity set in France.
s709,Movie,Lost Whisper 709,Christopher Nolan,"Tilda Swinton, Viola Davis, Lupita Nyong'o",Indonesia,"December 19, 2013",1994,R,115 min,"Documentaries, TV Dramas, International Movies",A movie about survival set in Indonesia.
s710,Movie,Iron Empire 710,Mira Nair,"Lupita Nyong'o, Idris Elba, Deepika Padukone",Indonesia,"June 26, 2012",2002,NR,199 min,Sci-Fi & Fantasy,A movie about power set in Indonesia.
s711,Movie,Bright Garden 711,Pedro Almodovar,"Riz Ahmed, Mahershala Ali, Daniel Kaluuya, Tom Hardy, Saoirse Ronan",France,"August 24, 2008",2016,TV-Y7,82 min,"TV Comedies, Reality TV",A movie about crime set in France.
s712,Movie,Sacred Whisper 712,,"Penelope Cruz, Mahershala Ali, Oscar Isaac, Deepika Padukone",Philippines,"May 18, 2008",1997,PG,186 min,"TV Dramas, Documentaries",A movie about family set in Philippines.
s713,TV Show,Broken Legacy 713,,"Florence Pugh, Shah Rukh Khan, Idris Elba, Oscar Isaac",India,"April 08, 2015",1992,TV-MA,3 Seasons,Documentaries,A tv show about crime set in India.
s714,Movie,Silent Memory 714,,"Tilda Swinton, Viola Davis, Penelope Cruz, Idris Elba",Argentina,"May 24, 2009",2016,TV-Y,84 min,"Comedies, Thrillers, Anime Series",A movie about crime set in Argentina.
s715,Movie,Bright Project 715,Bong Joon-ho,,United States,"January 21, 2013",2020,R,104 min,Documentaries,A movie about identity set in United States.
s716,Movie,Broken Truth 716,Hayao Miyazaki,,Argentina,,2016,TV-MA,96 min,"International Movies, Thrillers, Horror Movies",A movie about identity set in Argentina.
s717,Movie,Eternal Memory 717,,"Florence Pugh, Song Kang-ho, Shah Rukh Khan",Indonesia,"June 22, 2020",2013,TV-PG,96 min,"Children & Family Movies, Crime TV Shows, Thrillers",A movie about family set in Indonesia.
s718,TV Show,Broken Kingdom 718,Spike Lee,,Nigeria,"August 03, 2012",2001,TV-Y,2 Seasons,Thrillers,A tv show about identity set in Nigeria.
s719,TV Show,Hidden Project 719,Bong Joon-ho,"Mahershala Ali, Deepika Padukone, Tom Hardy, Tilda Swinton",Philippines,"August 29, 2013",2003,PG-13,1 Season,Crime TV Shows,A tv show about crime set in Philippines.
s720,Movie,Golden Shadow 720,Spike Lee,"Daniel Kaluuya, Deepika Padukone, Lupita Nyong'o",Spain,"May 28, 2010",1990,NR,57 min,Children & Family Movies,A movie about love set in Spain.
s721,Movie,Broken Memory 721,Anurag Kashyap,,South Korea,"May 12, 2016",1994,TV-MA,121 min,Action & Adventure,A movie about family set in South Korea.
s722,Movie,Wild City 722,Bong Joon-ho,"Daniel Kaluuya, Shah Rukh Khan",,"April 07, 2013",2019,NR,187 min,"Children & Family Movies, Dramas",A movie about power set in an unnamed place.
s723,Movie,Midnight Memory 723,Bong Joon-ho,,United States,"September 12, 2017",2019,TV-MA,192 min,Comedies,A movie about family set in United States.
s724,TV Show,Golden Heart 724,,"Penelope Cruz, Song Kang-ho, Mahershala Ali, Deepika Padukone",India,"October 06, 2017",2021,TV-MA,5 Season,"TV Dramas, Anime Series, British TV Shows",A tv show about identity set in India.
s725,Movie,Iron City 725,Pedro Almodovar,"Mahershala Ali, Penelope Cruz, Shah Rukh Khan, Oscar Isaac",Egypt,"July 23, 2014",1999,TV-Y7,183 min,"TV Dramas, Stand-Up Comedy",A movie about love set in Egypt.
s726,Movie,Bright Promise 726,Denis Villeneuve,"Idris Elba, Zendaya, Tom Hardy, Daniel Kaluuya, Lupita Nyong'o",France,"February 12, 2020",2000,NR,80 min,TV Comedies,A movie about love set in France.
s727,TV Show,Bright Kingdom 727,Pedro Almodovar,,United States,"May 06, 2020",2000,PG,8 Season,"TV Dramas, Reality TV, TV Comedies",A tv show about identity set in United States.
s728,Movie,Broken Garden 728,Ava DuVernay,"Deepika Padukone, Tilda Swinton",France,"March 22, 2012",1990,G,72 min,"Documentaries, Comedies",A movie about power set in France.
s729,TV Show,Crimson Truth 729,Bong Joon-ho,"Penelope Cruz, Tom Hardy",,"August 23, 2012",2001,TV-14,2 Season,Stand-Up Comedy,A tv show about family set in an unnamed place.
s730,Movie,Lost Memory 730,Denis Villeneuve,"Oscar Isaac, Penelope Cruz, Daniel Kaluuya",Argentina,"April 22, 2021",1992,TV-MA,172 min,"TV Dramas, Dramas",A movie about family set in Argentina.
s731,TV Show,Dark Truth 731,Pedro Almodovar,"Mahershala Ali, Tilda Swinton, Deepika Padukone, Tom Hardy, Penelope Cruz",,"December 12, 2009",2020,TV-14,2 Season,"Action & Adventure, Anime Series, TV Comedies",A tv show about power set in an unnamed place.
s732,Movie,Velvet Heart 732,,"Penelope Cruz, Oscar Isaac, Daniel Kaluuya, Viola Davis, Tom Hardy",Philippines,"August 19, 2008",2018,TV-PG,163 min,"Independent Movies, TV Comedies",A movie about identity set in Philippines.
s733,Movie,Lost Storm 733,Ava DuVernay,"Zendaya, Saoirse Ronan, Riz Ahmed",Mexico,"July 27, 2017",1997,TV-14,95 min,"British TV Shows, Horror Movies",A movie about love set in Mexico.
s734,Movie,Golden Truth 734,Anurag Kashyap,"Oscar Isaac, Shah Rukh Khan",Philippines,"February 16, 2013",2018,TV-14,70 min,Documentaries,A movie about crime set in Philippines.
s735,TV Show,Velvet Code 735,,"Tom Hardy, Mahershala Ali, Lupita Nyong'o, Zendaya, Idris Elba",Canada,"October 01, 2008",2007,TV-Y,2 Season,"TV Dramas, British TV Shows",A tv show about survival set in Canada.
s736,Movie,Crimson City 736,Anurag Kashyap,"Shah Rukh Khan, Oscar Isaac, Daniel Kaluuya",Egypt,"March 30, 2020",2013,TV-Y7,62 min,"Romantic Movies, Independent Movies, Stand-Up Comedy",A movie about love set in Egypt.
s737,Movie,Crimson Garden 737,,"Tom Hardy, Idris Elba, Daniel Kaluuya, Lupita Nyong'o, Riz Ahmed",Germany,"March 13, 2008",2009,TV-PG,126 min,British TV Shows,A movie about crime set in Germany.
s738,Movie,Wild Heart 738,Christopher Nolan,"Saoirse Ronan, Tilda Swinton",Nigeria,"July 11, 2009",2020,TV-14,189 min,Horror Movies,A movie about power set in Nigeria.
s739,TV Show,Dark Hour 739,Bong Joon-ho,"Viola Davis, Florence Pugh, Penelope Cruz, Tom Hardy, Idris Elba",United States,"May 19, 2016",2015,R,3 Seasons,"Stand-Up Comedy, Romantic Movies, Horror Movies",A tv show about identity set in United States.
s740,Movie,Wild Truth 740,,"Shah Rukh Khan, Lupita Nyong'o, Viola Davis, Mahershala Ali, Daniel Kaluuya",India,"October 26, 2016",2007,PG,122 min,"Music & Musicals, Crime TV Shows, Sci-Fi & Fantasy",A movie about survival set in India.
s741,Movie,Broken Truth 741,Ava DuVernay,"Daniel Kaluuya, Idris Elba, Viola Davis",Australia,"October 28, 2021",1994,PG-13,114 min,"Music & Musicals, Korean TV Shows",A movie about crime set in Australia.
s742,Movie,Bright Whisper 742,Mira Nair,"Penelope Cruz, Riz Ahmed, Idris Elba, Lupita Nyong'o",Germany,"July 04, 2017",2002,TV-PG,120 min,TV Dramas,A movie about power set in Germany.
s743,Movie,Eternal Garden 743,Mira Nair,"Oscar Isaac, Tilda Swinton",Indonesia,"July 26, 2015",2001,TV-Y7,140 min,TV Comedies,A movie about survival set in Indonesia.
s744,TV Show,Bright Code 744,Denis Villeneuve,"Lupita Nyong'o, Viola Davis",China,"January 27, 2008",1994,PG-13,8 Seasons,"Independent Movies, Children & Family Movies, Korean TV Shows",A tv show about identity set in China.
s745,Movie,Hidden Empire 745,Park Chan-wook,"Daniel Kaluuya, Penelope Cruz",Canada,"October 03, 2010",2013,TV-MA,55 min,Children & Family Movies,A movie about love set in Canada.
s746,Movie,Hidden Promise 746,Ava DuVernay,"Viola Davis, Zendaya, Tilda Swinton",United States,"March 20, 2014",2008,R,101 min,"Music & Musicals, Independent Movies, Children & Family Movies",A movie about identity set in United States.
s747,Movie,Crimson Promise 747,,"Idris Elba, Florence Pugh, Riz Ahmed",China,"August 06, 2011",1995,NR,114 min,"Action & Adventure, Music & Musicals",A movie about crime set in China.
s748,TV Show,Crimson Garden 748,Anurag Kashyap,"Lupita Nyong'o, Viola Davis, Tom Hardy",Mexico,"June 13, 2021",2014,R,2 Seasons,"Anime Series, Music & Musicals",A tv show about crime set in Mexico.
s749,TV Show,Broken Project 749,Hayao Miyazaki,,South Korea,"January 09, 2019",2017,G,6 Season,"Korean TV Shows, TV Comedies",A tv show about survival set in South Korea.
s750,Movie,Eternal Promise 750,Mira Nair,"Idris Elba, Florence Pugh, Penelope Cruz, Song Kang-ho, Zendaya",Italy,"July 09, 2014",2004,TV-Y7,51 min,"Independent Movies, Horror Movies, Comedies",A movie about survival set in Italy.
s751,TV Show,Lost Shadow 751,Denis Villeneuve,"Riz Ahmed, Mahershala Ali, Deepika Padukone, Penelope Cruz, Viola Davis",Brazil,"March 22, 2016",2006,TV-PG,4 Seasons,"Korean TV Shows, Music & Musicals, Thrillers",A tv show about love set in Brazil.
s752,TV Show,Eternal Empire 752,Christopher Nolan,"Shah Rukh Khan, Oscar Isaac, Mahershala Ali",Germany,"September 21, 2013",2018,TV-PG,7 Season,Horror Movies,A tv show about survival set in Germany.
s753,Movie,Frozen Kingdom 753,,,,"December 12, 2011",2008,TV-Y,87 min,Dramas,A movie about crime set in an unnamed place.
s754,Movie,Midnight Kingdom 754,Greta Gerwig,"Song Kang-ho, Florence Pugh, Deepika Padukone",Brazil,"June 05, 2011",2001,TV-MA,128 min,Children & Family Movies,A movie about identity set in Brazil.
s755,TV Show,Frozen Legacy 755,Hayao Miyazaki,"Daniel Kaluuya, Shah Rukh Khan",Spain,"March 27, 2016",2007,TV-Y7,3 Seasons,"Horror Movies, Romantic Movies, International Movies",A tv show about love set in Spain.
s756,TV Show,Silent Empire 756,Pedro Almodovar,"Florence Pugh, Zendaya, Lupita Nyong'o, Deepika Padukone, Tilda Swinton",Brazil,"December 13, 2020",2015,G,7 Season,"Documentaries, International Movies",A tv show about crime set in Brazil.
s757,Movie,Eternal Project 757,Mira Nair,"Florence Pugh, Saoirse Ronan, Idris Elba, Tom Hardy, Riz Ahmed",United States,"April 20, 2011",2018,TV-PG,122 min,"Horror Movies, Documentaries",A movie about love set in United States.
s758,TV Show,Bright Heart 758,Hayao Miyazaki,"Mahershala Ali, Zendaya, Song Kang-ho, Deepika Padukone, Shah Rukh Khan",India,"April 07, 2011",1996,TV-MA,6 Seasons,"Stand-Up Comedy, Comedies",A tv show about identity set in India.
s759,Movie,Dark Legacy 759,Martin Scorsese,"Shah Rukh Khan, Idris Elba, Zendaya, Song Kang-ho, Saoirse Ronan",Japan,,1996,G,114 min,Dramas,A movie about identity set in Japan.
s760,Movie,Frozen Whisper 760,,"Mahershala Ali, Oscar Isaac, Idris Elba, Saoirse Ronan, Riz Ahmed",,"October 07, 2010",2018,TV-Y,176 min,Reality TV,A movie about power set in an unnamed place.
s761,TV Show,Frozen Kingdom 761,Anurag Kashyap,"Tilda Swinton, Daniel Kaluuya, Mahershala Ali, Deepika Padukone, Riz Ahmed",Germany,"May 27, 2012",1995,PG-13,7 Season,Sci-Fi & Fantasy,A tv show about love set in Germany.
s762,TV Show,Crimson Shadow 762,Hayao Miyazaki,"Riz Ahmed, Lupita Nyong'o, Oscar Isaac",South Korea,,1994,TV-MA,5 Seasons,Horror Movies,A tv show about survival set in South Korea.
s763,TV Show,Silent City 763,Christopher Nolan,,Australia,"May 06, 2016",2020,PG-13,9 Seasons,"Crime TV Shows, Music & Musicals, Korean TV Shows",A tv show about crime set in Australia.
s764,Movie,Dark Memory 764,Park Chan-wook,"Deepika Padukone, Riz Ahmed, Tom Hardy",Germany,"May 31, 2019",2009,TV-Y,58 min,"Sci-Fi & Fantasy, Children & Family Movies, Action & Adventure",A movie about crime set in Germany.
s765,Movie,Dark Truth 765,,"Saoirse Ronan, Zendaya, Viola Davis, Mahershala Ali, Lupita Nyong'o",Turkey,"May 27, 2017",2011,R,86 min,"British TV Shows, Comedies, Crime TV Shows",A movie about love set in Turkey.
s766,Movie,Dark Shadow 766,,"Tilda Swinton, Idris Elba",Spain,"January 12, 2019",2015,TV-Y,155 min,Sci-Fi & Fantasy,A movie about crime set in Spain.
s767,Movie,Silent Whisper 767,,"Shah Rukh Khan, Viola Davis, Zendaya, Riz Ahmed, Mahershala Ali",,"January 18, 2019",1995,TV-PG,58 min,British TV Shows,A movie about crime set in an unnamed place.
s768,Movie,Hidden Project 768,Park Chan-wook,"Shah Rukh Khan, Tom Hardy, Daniel Kaluuya, Saoirse Ronan",India,"November 05, 2009",1992,R,88 min,"British TV Shows, Action & Adventure",A movie about family set in India.
s769,Movie,Velvet Project 769,Mira Nair,"Zendaya, Oscar Isaac",Japan,"July 19, 2019",1996,R,117 min,TV Comedies,A movie about family set in Japan.
s770,Movie,Golden Heart 770,Denis Villeneuve,"Oscar Isaac, Tilda Swinton, Mahershala Ali, Penelope Cruz",Spain,"December 08, 2014",2010,TV-Y7,83 min,"Documentaries, International Movies, Comedies",A movie about love set in Spain.
s771,Movie,Midnight Promise 771,,"Shah Rukh Khan, Saoirse Ronan, Florence Pugh",Australia,"October 20, 2018",2017,G,195 min,"Thrillers, British TV Shows",A movie about power set in Australia.
s772,Movie,Silent Shadow 772,,,,"August 27, 2013",2014,TV-Y7,163 min,"TV Comedies, Crime TV Shows, Anime Series",A movie about crime set in an unnamed place.
s773,TV Show,Golden Memory 773,Denis Villeneuve,"Tom Hardy, Riz Ahmed, Florence Pugh",Germany,"December 02, 2018",2011,TV-PG,4 Seasons,"Children & Family Movies, Thrillers",A tv show about power set in Germany.
s774,Movie,Lost Truth 774,,"Mahershala Ali, Idris Elba, Tom Hardy, Viola Davis",Nigeria,"April 25, 2011",2011,G,115 min,"TV Comedies, Korean TV Shows, Thrillers",A movie about survival set in Nigeria.
s775,TV Show,Golden Truth 775,,"Zendaya, Tom Hardy, Saoirse Ronan, Idris Elba",,"May 29, 2009",2020,TV-Y,8 Seasons,"Independent Movies, Horror Movies, Crime TV Shows",A tv show about identity set in an unnamed place.
s776,Movie,Hidden Storm 776,Martin Scorsese,"Florence Pugh, Saoirse Ronan, Tom Hardy, Lupita Nyong'o",Spain,"January 28, 2018",2005,TV-Y,57 min,Children & Family Movies,A movie about identity set in Spain.
s777,TV Show,Frozen Shadow 777,,"Viola Davis, Deepika Padukone, Oscar Isaac, Song Kang-ho",China,"August 07, 2010",2005,TV-Y,9 Seasons,Reality TV,A tv show about power set in China.
s778,Movie,Iron Shadow 778,,"Tom Hardy, Viola Davis, Shah Rukh Khan, Mahershala Ali, Florence Pugh",Mexico,"April 27, 2017",2000,R,86 min,"Action & Adventure, Sci-Fi & Fantasy",A movie about family set in Mexico.
s779,TV Show,Golden Legacy 779,Christopher Nolan,"Tom Hardy, Song Kang-ho",,"January 21, 2014",2001,TV-Y7,6 Season,"Anime Series, Korean TV Shows, Action & Adventure",A tv show about survival set in an unnamed place.
s780,Movie,Hidden Truth 780,,"Idris Elba, Penelope Cruz, Florence Pugh, Song Kang-ho",Germany,"November 29, 2021",1995,TV-PG,82 min,"Romantic Movies, Korean TV Shows",A movie about power set in Germany.
s781,Movie,Wild City 781,Denis Villeneuve,,Turkey,"June 29, 2019",2015,R,168 min,"Comedies, Horror Movies, British TV Shows",A movie about identity set in Turkey.
s782,TV Show,Broken Whisper 782,Bong Joon-ho,"Zendaya, Song Kang-ho",,"May 09, 2016",2011,TV-MA,6 Seasons,Documentaries,A tv show about love set in an unnamed place.
s783,Movie,Frozen Truth 783,,"Tilda Swinton, Viola Davis, Oscar Isaac, Florence Pugh, Tom Hardy",Australia,"January 17, 2020",2017,TV-14,59 min,"Documentaries, Children & Family Movies",A movie about survival set in Australia.
s784,TV Show,Hidden Whisper 784,Christopher Nolan,"Shah Rukh Khan, Deepika Padukone, Saoirse Ronan, Mahershala Ali",United States,,2008,TV-14,3 Seasons,"Music & Musicals, Action & Adventure, TV Dramas",A tv show about love set in United States.
s785,Movie,Hidden Truth 785,Christopher Nolan,"Shah Rukh Khan, Song Kang-ho, Tom Hardy",China,"October 14, 2009",2009,PG-13,70 min,"International Movies, Sci-Fi & Fantasy",A movie about survival set in China.
s786,Movie,Eternal Storm 786,Anurag Kashyap,,Philippines,,2020,PG,148 min,"Action & Adventure, Children & Family Movies, Romantic Movies",A movie about identity set in Philippines.
s787,TV Show,Bright Truth 787,,"Song Kang-ho, Tilda Swinton, Florence Pugh",,"November 03, 2010",2000,G,4 Seasons,Korean TV Shows,A tv show about family set in an unnamed place.
s788,Movie,Golden Truth 788,Spike Lee,"Riz Ahmed, Song Kang-ho",Italy,"November 02, 2019",2008,TV-Y,196 min,"Independent Movies, Sci-Fi & Fantasy",A movie about family set in Italy.
s789,Movie,Dark City 789,,"Tom Hardy, Viola Davis, Penelope Cruz, Oscar Isaac, Song Kang-ho",France,"January 05, 2021",1997,R,78 min,"International Movies, Horror Movies, Independent Movies",A movie about power set in France.
s790,Movie,Midnight Hour 790,Bong Joon-ho,"Tom Hardy, Tilda Swinton",Canada,"April 22, 2008",2016,R,159 min,Documentaries,A movie about power set in Canada.
s791,Movie,Midnight Project 791,Hayao Miyazaki,"Zendaya, Tilda Swinton, Song Kang-ho, Daniel Kaluuya",Italy,"June 11, 2013",2021,PG-13,156 min,Children & Family Movies,A movie about love set in Italy.
s792,Movie,Silent Empire 792,Martin Scorsese,"Penelope Cruz, Daniel Kaluuya, Viola Davis, Saoirse Ronan",Germany,"April 22, 2008",2020,G,61 min,"Anime Series, TV Dramas, Sci-Fi & Fantasy",A movie about power set in Germany.
s793,Movie,Crimson Memory 793,Spike Lee,"Idris Elba, Deepika Padukone, Song Kang-ho, Zendaya",United States,"November 24, 2018",2014,G,175 min,"Documentaries, Action & Adventure, Children & Family Movies",A movie about power set in United States.
s794,Movie,Hidden Memory 794,,"Florence Pugh, Tom Hardy, Viola Davis, Oscar Isaac",Canada,"May 05, 2014",2006,G,192 min,"Romantic Movies, British TV Shows, Korean TV Shows",A movie about love set in Canada.
s795,Movie,Lost Whisper 795,Pedro Almodovar,"Tom Hardy, Deepika Padukone, Song Kang-ho, Shah Rukh Khan",Mexico,"July 12, 2017",2006,PG-13,195 min,TV Comedies,A movie about power set in Mexico.
s796,TV Show,Velvet Code 796,Christopher Nolan,"Deepika Padukone, Idris Elba, Tom Hardy",Brazil,"May 29, 2013",2011,TV-Y,9 Season,Action & Adventure,A tv show about identity set in Brazil.
s797,TV Show,Crimson Shadow 797,Bong Joon-ho,"Song Kang-ho, Tilda Swinton",China,"January 16, 2011",2004,R,6 Season,"Dramas, Independent Movies",A tv show about survival set in China.
s798,Movie,Hidden Hour 798,Spike Lee,"Tilda Swinton, Zendaya",Canada,"August 12, 2013",2005,PG-13,183 min,Dramas,A movie about survival set in Canada.
s799,TV Show,Crimson Truth 799,Denis Villeneuve,"Lupita Nyong'o, Tom Hardy, Penelope Cruz",Brazil,"June 23, 2020",2000,TV-14,1 Seasons,Romantic Movies,A tv show about crime set in Brazil.
s800,Movie,Lost Memory 800,,"Saoirse Ronan, Daniel Kaluuya, Deepika Padukone",,"November 15, 2021",1998,R,138 min,"Sci-Fi & Fantasy, Stand-Up Comedy, Documentaries",A movie about power set in an unnamed place.
s801,Movie,Bright Promise 801,Martin Scorsese,"Idris Elba, Tilda Swinton",Turkey,"July 14, 2011",2003,TV-Y,72 min,"Horror Movies, Romantic Movies",A movie about family set in Turkey.
s802,TV Show,Golden Legacy 802,Pedro Almodovar,"Zendaya, Shah Rukh Khan, Riz Ahmed, Oscar Isaac",Philippines,"January 26, 2018",2017,TV-Y7,5 Season,"Thrillers, Dramas, Music & Musicals",A tv show about survival set in Philippines.
s803,Movie,Sacred Legacy 803,Christopher Nolan,"Saoirse Ronan, Zendaya",,"December 19, 2019",1997,TV-Y,193 min,"Documentaries, International Movies, Korean TV Shows",A movie about crime set in an unnamed place.
s804,Movie,Crimson Truth 804,,"Deepika Padukone, Lupita Nyong'o",Australia,"February 05, 2010",2006,G,79 min,International Movies,A movie about survival set in Australia.
s805,Movie,Dark Garden 805,,"Saoirse Ronan, Oscar Isaac",Turkey,"April 05, 2020",1995,PG,162 min,Children & Family Movies,A movie about family set in Turkey.
s806,Movie,Sacred Empire 806,Park Chan-wook,"Shah Rukh Khan, Idris Elba",Philippines,"April 08, 2012",2020,TV-14,157 min,"TV Dramas, International Movies, Dramas",A movie about power set in Philippines.
s807,Movie,Eternal Whisper 807,Christopher Nolan,"Oscar Isaac, Saoirse Ronan, Shah Rukh Khan, Viola Davis",France,"December 04, 2020",2020,G,64 min,Romantic Movies,A movie about family set in France.
s808,Movie,Sacred Empire 808,Spike Lee,,United States,"February 04, 2009",1990,R,141 min,"Crime TV Shows, Comedies",A movie about family set in United States.
s809,TV Show,Hidden Legacy 809,,"Deepika Padukone, Penelope Cruz",Germany,"March 19, 2015",2013,PG,5 Seasons,"TV Comedies, International Movies, Reality TV",A tv show about power set in Germany.
s810,Movie,Wild Empire 810,Bong Joon-ho,"Mahershala Ali, Florence Pugh, Tom Hardy, Zendaya, Oscar Isaac",Nigeria,"June 12, 2009",1993,TV-MA,76 min,"Children & Family Movies, Korean TV Shows",A movie about love set in Nigeria.
s811,TV Show,Bright Legacy 811,Greta Gerwig,"Idris Elba, Lupita Nyong'o, Deepika Padukone, Riz Ahmed",Spain,"June 24, 2016",2002,TV-14,7 Season,Comedies,A tv show about crime set in Spain.
s812,Movie,Velvet Hour 812,Anurag Kashyap,"Riz Ahmed, Saoirse Ronan, Shah Rukh Khan, Tom Hardy",Turkey,"December 05, 2010",2013,G,155 min,Action & Adventure,A movie about family set in Turkey.
s813,TV Show,Hidden Kingdom 813,Martin Scorsese,"Florence Pugh, Shah Rukh Khan, Idris Elba, Daniel Kaluuya",Mexico,"December 12, 2008",2001,R,6 Season,"Romantic Movies, Sci-Fi & Fantasy, Thrillers",A tv show about power set in Mexico.
s814,Movie,Midnight Heart 814,Hayao Miyazaki,"Tom Hardy, Florence Pugh, Song Kang-ho, Mahershala Ali",Spain,"March 27, 2019",2001,PG-13,129 min,"Documentaries, Anime Series, International Movies",A movie about power set in Spain.
s815,Movie,Lost Storm 815,Martin Scorsese,"Deepika Padukone, Song Kang-ho, Zendaya, Riz Ahmed",Brazil,"October 20, 2019",2006,TV-14,146 min,"Horror Movies, Documentaries, Action & Adventure",A movie about love set in Brazil.
s816,Movie,Velvet Heart 816,Ava DuVernay,"Viola Davis, Oscar Isaac",Spain,"June 09, 2012",2021,TV-Y,127 min,International Movies,A movie about survival set in Spain.
s817,TV Show,Golden Kingdom 817,Mira Nair,"Tilda Swinton, Penelope Cruz, Viola Davis, Deepika Padukone, Lupita Nyong'o",China,"October 06, 2019",1990,,3 Season,Dramas,A tv show about identity set in China.
s818,Movie,Sacred Shadow 818,,"Deepika Padukone, Mahershala Ali",Argentina,"February 26, 2019",2006,NR,75 min,"Stand-Up Comedy, Dramas, Thrillers",A movie about survival set in Argentina.
s819,Movie,Sacred Whisper 819,,,United Kingdom,"October 18, 2019",2008,PG-13,102 min,TV Comedies,A movie about identity set in United Kingdom.
s820,Movie,Dark Empire 820,Hayao Miyazaki,"Penelope Cruz, Oscar Isaac, Zendaya",United Kingdom,"March 02, 2014",2011,TV-14,68 min,"International Movies, Sci-Fi & Fantasy",A movie about crime set in United Kingdom.
s821,Movie,Broken Memory 821,,"Tilda Swinton, Song Kang-ho",Italy,"January 14, 2009",1996,TV-PG,154 min,International Movies,A movie about crime set in Italy.
s822,TV Show,Lost Legacy 822,Denis Villeneuve,"Tom Hardy, Penelope Cruz",Egypt,"October 09, 2012",1996,R,5 Seasons,"International Movies, Stand-Up Comedy",A tv show about identity set in Egypt.
s823,Movie,Broken Code 823,,"Riz Ahmed, Florence Pugh, Lupita Nyong'o, Tilda Swinton, Shah Rukh Khan",Nigeria,"July 06, 2014",1992,PG-13,186 min,Korean TV Shows,A movie about survival set in Nigeria.
s824,TV Show,Eternal Storm 824,,"Riz Ahmed, Tom Hardy, Song Kang-ho",Brazil,"October 13, 2010",1993,PG,8 Seasons,Music & Musicals,A tv show about love set in Brazil.
s825,Movie,Velvet Code 825,Greta Gerwig,"Tom Hardy, Mahershala Ali, Deepika Padukone",Philippines,"January 13, 2017",2016,NR,141 min,"Sci-Fi & Fantasy, Reality TV, Anime Series",A movie about love set in Philippines.
s826,TV Show,Hidden Promise 826,Denis Villeneuve,"Saoirse Ronan, Idris Elba, Oscar Isaac",United States,"December 11, 2014",2002,R,2 Season,Sci-Fi & Fantasy,A tv show about crime set in United States.
s827,TV Show,Broken Shadow 827,Martin Scorsese,"Daniel Kaluuya, Shah Rukh Khan",Canada,"May 14, 2017",1991,TV-PG,4 Season,"Horror Movies, Korean TV Shows, Music & Musicals",A tv show about family set in Canada.
s828,Movie,Velvet City 828,Bong Joon-ho,"Tom Hardy, Riz Ahmed, Zendaya",United States,"February 20, 2017",1997,NR,156 min,"Dramas, Reality TV",A movie about crime set in United States.
s829,Movie,Sacred Whisper 829,Anurag Kashyap,"Shah Rukh Khan, Florence Pugh, Lupita Nyong'o, Penelope Cruz",Brazil,"August 19, 2009",2003,,168 min,"Action & Adventure, Documentaries",A movie about crime set in Brazil.
s830,TV Show,Eternal Code 830,Christopher Nolan,"Lupita Nyong'o, Penelope Cruz, Daniel Kaluuya",Philippines,"December 20, 2014",2007,TV-MA,1 Seasons,British TV Shows,A tv show about crime set in Philippines.
s831,Movie,Iron Project 831,Mira Nair,"Shah Rukh Khan, Tom Hardy, Viola Davis, Florence Pugh, Penelope Cruz",United Kingdom,"May 02, 2012",2011,TV-MA,57 min,TV Comedies,A movie about identity set in United Kingdom.
s832,Movie,Iron Storm 832,,"Tilda Swinton, Tom Hardy",Japan,"September 14, 2019",2002,TV-Y7,150 min,"Documentaries, International Movies, TV Dramas",A movie about crime set in Japan.
